advice,cons,countHelpful,countNotHelpful,date,Date,employmentStatus,id,isAnonymousEmployee,isCurrentEmployee,isLegal,jobEndingYear,jobTitle,lengthOfEmployment,location,pros,ratings/0/rating,ratings/0/title,ratings/1/rating,ratings/1/title,ratings/2/rating,ratings/2/title,ratings/3/rating,ratings/3/title,ratings/4/rating,ratings/4/title,ratings/5/rating,ratings/5/title,ratings/6/rating,ratings/6/title,reviews/0/isOK,reviews/0/title,reviews/1/isOK,reviews/1/title,reviews/2/isOK,reviews/2/title,title,type,url
I hope one day I can watch the big three of management to quit.  Second in command is good,Upper management is coniving and talk down about there employees,0,0,2022-02-14T06:20:55.610,2022-02-14,REGULAR,59630452,TRUE,TRUE,TRUE,,,1,"Bowling Green, KY",Pay for production is good production supervisors are good,5,Work/Life Balance,3,Overall,3,Culture & Values,2,Diversity & Inclusion,1,Senior Management,4,Career Opportunities,2,Compensation and Benefits,FALSE,Recommend,TRUE,CEO Approval,,Business Outlook,Upper management,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW59630452.htm
,Not enough employees yet so lots of overtime is required,0,0,2021-11-14T00:21:02.040,2021-11-14,REGULAR,55327912,FALSE,TRUE,TRUE,,Forklift Operator,0,"Pittston, PA","New business, room for growth",5,Work/Life Balance,4,Overall,5,Culture & Values,5,Diversity & Inclusion,5,Senior Management,5,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Busy,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW55327912.htm
"No advice to management, more advice to corporate. Gut the place from top down and actually hire competent management and employees.","Zero concept of quality, management is clueless, very toxic environment, and point system promotes a horrible environment.",0,0,2022-01-11T09:39:57.653,2022-01-11,REGULAR,57745815,FALSE,FALSE,TRUE,2021,Lead Quality Technician,2,"Glendale, AZ",Pay and benefits are great,1,Work/Life Balance,2,Overall,0,Culture & Values,1,Diversity & Inclusion,1,Senior Management,2,Career Opportunities,4,Compensation and Benefits,,Recommend,,CEO Approval,FALSE,Business Outlook,Think twice about accepting an offer from this place,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW57745815.htm
Listen to your employees instead of treating them like you are above them,"Everything but the pay. The only reason this place has any employees left is the money. 
Management from plant manager and hr, all the way down is a joke. 
The schedule is brutal and they want mandatory ot on top of 12 hour shifts. 
If you like being treated like a number, not heard and boiling in the summer, then this a job for you. I could go on and on, but in a nutshell, this place sucks and I wouldn't recommend it.",1,0,2021-11-21T04:44:38.833,2021-11-21,REGULAR,55651864,FALSE,FALSE,TRUE,2021,Maintainer,20,"Findlay, OH",The pay is the only reason.,3,Work/Life Balance,1,Overall,1,Culture & Values,1,Diversity & Inclusion,1,Senior Management,1,Career Opportunities,5,Compensation and Benefits,FALSE,Recommend,,CEO Approval,FALSE,Business Outlook,Golden handcuffs,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW55651864.htm
Be fully invested into the company,"Long hours, plant is new and lacks experience needed. Some positions require to be on call on nights and weekends.",0,0,2021-08-18T11:28:04,2021-08-18,REGULAR,51301120,FALSE,TRUE,TRUE,,Process Superintendent,20,"Goodyear, AZ","Benefits, competitive pay, great values, safety oriented, stock purchase options, full pension after 5 years. 2 weeks vacation on start date.",2,Work/Life Balance,5,Overall,5,Culture & Values,5,Diversity & Inclusion,4,Senior Management,5,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,,Business Outlook,Great company,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW51301120.htm
Nothing.,Shift change.. but it's really not bad.,0,0,2021-07-19T23:23:15.470,2021-07-19,REGULAR,50000823,FALSE,TRUE,TRUE,,Production Technician,2,"Findlay, OH",4 days on 4 days off. Atmosphere here is incredible. The team work and knowledge everyone is willing to help with and share.. I've never worked for a place like this..ul until now. This is probably the best place I've ever worked at.,5,Work/Life Balance,5,Overall,5,Culture & Values,5,Diversity & Inclusion,5,Senior Management,5,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Amazing place to work.,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW50000823.htm
Keep up the great work!,"Tend to be really spread thin. People work hard, maybe too hard",1,0,2021-08-26T20:23:33.157,2021-08-26,REGULAR,51707525,FALSE,TRUE,TRUE,,Administrative Manager,6,"Denver, CO",The people are amazing. Team work is the focus as well as sustainability.,5,Work/Life Balance,5,Overall,5,Culture & Values,5,Diversity & Inclusion,5,Senior Management,5,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Great place to work,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW51707525.htm
,culture that accepts homophobia and racism,0,0,2021-10-18T11:17:53.947,2021-10-18,REGULAR,54146172,FALSE,TRUE,TRUE,,Analyst,4,"Denver, CO","pension, generally friendly culture, &amp; reasonable work hours",0,Work/Life Balance,4,Overall,0,Culture & Values,0,Diversity & Inclusion,0,Senior Management,0,Career Opportunities,0,Compensation and Benefits,,Recommend,,CEO Approval,TRUE,Business Outlook,good,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW54146172.htm
None,"Location, schedule rotations, 12hr shifts can seem to last forever",2,0,2020-09-22T16:42:32.410,2020-09-22,REGULAR,36251136,FALSE,TRUE,TRUE,,Electronics Technician,2,"Fort Worth, TX","4/3 schedule, good benefits, managment is fair",4,Work/Life Balance,5,Overall,5,Culture & Values,0,Diversity & Inclusion,4,Senior Management,5,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Great Job,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW36251136.htm
,There are no cons yet,0,0,2020-12-14T08:15:32.843,2020-12-14,REGULAR,39463128,FALSE,TRUE,TRUE,,Manufacturing Process Engineer,1,"Monticello, IN",Company is making great strides to improve there benefits and the work environment isn't stressful. Very understanding and accommodating staff.,5,Work/Life Balance,5,Overall,5,Culture & Values,3,Diversity & Inclusion,3,Senior Management,4,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,,CEO Approval,TRUE,Business Outlook,Great company with great benefits,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW39463128.htm
